symbol,exchange,quoteType,rank,fundop_annual_report_expense_ratio,fundop_annual_holdings_turnover,fundop_total_net_assets,market,etf_type,info_market,info_region,info_currency,info_netExpenseRatio,info_totalAssets,info_netAssets,info_fundInceptionDate,info_fundFamily,info_legalType,info_category,info_averageDailyVolume3Month,info_averageVolume,info_threeYearAverageReturn,info_fiveYearAverageReturn,info_ytdReturn,info_fiftyTwoWeekChangePercent
VFMO,BTS,etf,20001.0,0.0013,0.77,19932.64,US,equity,us_market,US,USD,0.13,1194937472.0,1194937470.0,1518480000.0,Vanguard,Exchange Traded Fund,Mid-Cap Blend,34280.0,34280.0,0.21409291,0.11666799,17.54767,17.28052
JMOM,PCX,etf,20001.0,0.0011999999,0.39,124075.62,US,index,us_market,US,USD,0.12,1748099200.0,1748099200.0,1510099200.0,JPMorgan,Exchange Traded Fund,Large Blend,90701.0,90701.0,0.21897529,0.1308429,18.03496,12.756741
HAPS,PCX,etf,20001.0,0.006,0.75,3251.72,US,index,us_market,US,USD,0.6,143577648.0,143577648.0,1681257600.0,Harbor,Exchange Traded Fund,Small Blend,206.0,206.0,,,8.39332,7.0583224
QEFA,PCX,etf,20003.0,0.003,0.16,59003.3,US,index,us_market,US,USD,0.3,972389888.0,972389890.0,1401840000.0,State Street Investment Management,Exchange Traded Fund,Foreign Large Blend,34810.0,34810.0,0.1505107,0.0939053,28.77273,24.879253
QUS,PCX,etf,20002.0,0.0015,0.16,211484.12,US,index,us_market,US,USD,0.15,1530548224.0,1530548220.0,1429056000.0,State Street Investment Management,Exchange Traded Fund,Large Blend,24376.0,24376.0,0.1682475,0.1277135,14.04097,9.686386
QEMM,PCX,etf,20002.0,0.003,0.19,41617.4,US,index,us_market,US,USD,0.3,41520964.0,41520964.0,1401840000.0,State Street Investment Management,Exchange Traded Fund,Diversified Emerging Mkts,2491.0,2491.0,0.1383083,0.0515983,21.34241,23.230589
LRGC,PCX,etf,20001.0,0.0039,0.19,479534.16,US,equity,us_market,US,USD,0.39,698176448.0,698176450.0,1695081600.0,AllianceBernstein,Exchange Traded Fund,Large Blend,35395.0,35395.0,,,16.21236,10.452294
SIO,PCX,etf,20001.0,0.005,1.07,201291.16,US,bond,us_market,US,USD,0.5,228925120.0,228925120.0,1658361600.0,Touchstone,Exchange Traded Fund,Multisector Bond,20391.0,20391.0,0.0669794,,11.18746,1.2656212
ISIF.TO,TOR,etf,20001.0,0.0,0.4443,93932.36,Canada,equity,ca_market,US,CAD,,1755054208.0,1755054210.0,1414972800.0,IA Clarington Investments Inc,Exchange Traded Fund,,127.0,127.0,0.0954931,0.0765335,11.74106,8.208954
LDSF,NGM,etf,20001.0,0.0087,0.34,0.0,US,bond,us_market,US,USD,0.87,145597392.0,145597392.0,1546473600.0,First Trust,Exchange Traded Fund,Short-Term Bond,34008.0,34008.0,0.0531815,0.0227929,6.73236,1.6449928
SDSI,NGM,etf,20001.0,0.0032,2.07,0.0,US,bond,us_market,US,USD,0.32,157185344.0,157185344.0,1665446400.0,American Century Investments,Exchange Traded Fund,Short-Term Bond,23563.0,23563.0,0.056507803,,6.51171,1.5223384
FCVT,NGM,etf,20001.0,0.0095,1.22,0.0,US,equity,us_market,US,USD,0.95,94949520.0,94949520.0,1446508800.0,First Trust,Exchange Traded Fund,Convertibles,42911.0,42911.0,0.1399476,0.0342079,20.47045,21.6254
